MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name,source_file,source_row_number,state_code,district_code,subdistrict_code,village_code,state_name,district_name,subdistrict_name,village_name_raw,village_name_display,village_name_normalized,row_type,has_og_marker,has_part_marker,has_rural_marker,has_ward_marker,has_double_space_raw,full_address,quality_flags,canonical_rank,duplicate_village_code_count,is_duplicate_village_code,is_canonical_village_code_row
2,HIMACHAL PRADESH,31,Solan,162.0,Baddi,21231,Baddi Sitalpur (204),Rdir_2011_02_HIMACHAL_PRADESH.xls,14650,02,031,00162,021231,HIMACHAL PRADESH,Solan,Baddi,Baddi Sitalpur (204),Baddi Sitalpur,BADDI SITALPUR,VILLAGE,False,False,False,False,False,"Baddi Sitalpur, Baddi, Solan, HIMACHAL PRADESH, India",,0.2,2,True,True
2,HIMACHAL PRADESH,31,Solan,162.0,Baddi,21231,Badi Sitalpur (OG) (Part),Rdir_2011_02_HIMACHAL_PRADESH.xls,14655,02,031,00162,021231,HIMACHAL PRADESH,Solan,Baddi,Badi Sitalpur (OG) (Part),Badi Sitalpur,BADI SITALPUR,VILLAGE,True,True,False,False,False,"Badi Sitalpur, Baddi, Solan, HIMACHAL PRADESH, India",OG|PART,15.25,2,True,False
2,HIMACHAL PRADESH,31,Solan,162.0,Baddi,21232,Suraj Majra Labana (205),Rdir_2011_02_HIMACHAL_PRADESH.xls,14651,02,031,00162,021232,HIMACHAL PRADESH,Solan,Baddi,Suraj Majra Labana (205),Suraj Majra Labana,SURAJ MAJRA LABANA,VILLAGE,False,False,False,False,False,"Suraj Majra Labana, Baddi, Solan, HIMACHAL PRADESH, India",,0.24,2,True,True
2,HIMACHAL PRADESH,31,Solan,162.0,Baddi,21232,Suraj Majra Labana (OG) (Part),Rdir_2011_02_HIMACHAL_PRADESH.xls,14656,02,031,00162,021232,HIMACHAL PRADESH,Solan,Baddi,Suraj Majra Labana (OG) (Part),Suraj Majra Labana,SURAJ MAJRA LABANA,VILLAGE,True,True,False,False,False,"Suraj Majra Labana, Baddi, Solan, HIMACHAL PRADESH, India",OG|PART,15.3,2,True,False
2,HIMACHAL PRADESH,31,Solan,162.0,Baddi,21233,Bilanwali Gujran (198),Rdir_2011_02_HIMACHAL_PRADESH.xls,14652,02,031,00162,021233,HIMACHAL PRADESH,Solan,Baddi,Bilanwali Gujran (198),Bilanwali Gujran,BILANWALI GUJRAN,VILLAGE,False,False,False,False,False,"Bilanwali Gujran, Baddi, Solan, HIMACHAL PRADESH, India",,0.22,2,True,True
2,HIMACHAL PRADESH,31,Solan,162.0,Baddi,21233,Bilanwali Gujran (OG) (Part),Rdir_2011_02_HIMACHAL_PRADESH.xls,14657,02,031,00162,021233,HIMACHAL PRADESH,Solan,Baddi,Bilanwali Gujran (OG) (Part),Bilanwali Gujran,BILANWALI GUJRAN,VILLAGE,True,True,False,False,False,"Bilanwali Gujran, Baddi, Solan, HIMACHAL PRADESH, India",OG|PART,15.28,2,True,False
2,HIMACHAL PRADESH,31,Solan,162.0,Baddi,21234,Haripur Sandoli (206),Rdir_2011_02_HIMACHAL_PRADESH.xls,14653,02,031,00162,021234,HIMACHAL PRADESH,Solan,Baddi,Haripur Sandoli (206),Haripur Sandoli,HARIPUR SANDOLI,VILLAGE,False,False,False,False,False,"Haripur Sandoli, Baddi, Solan, HIMACHAL PRADESH, India",,0.21,2,True,True
2,HIMACHAL PRADESH,31,Solan,162.0,Baddi,21234,Haripur Sandoli (OG) (Part),Rdir_2011_02_HIMACHAL_PRADESH.xls,14658,02,031,00162,021234,HIMACHAL PRADESH,Solan,Baddi,Haripur Sandoli (OG) (Part),Haripur Sandoli,HARIPUR SANDOLI,VILLAGE,True,True,False,False,False,"Haripur Sandoli, Baddi, Solan, HIMACHAL PRADESH, India",OG|PART,15.27,2,True,False
2,HIMACHAL PRADESH,31,Solan,162.0,Baddi,21235,Bhatauli Kalan (214),Rdir_2011_02_HIMACHAL_PRADESH.xls,14654,02,031,00162,021235,HIMACHAL PRADESH,Solan,Baddi,Bhatauli Kalan (214),Bhatauli Kalan,BHATAULI KALAN,VILLAGE,False,False,False,False,False,"Bhatauli Kalan, Baddi, Solan, HIMACHAL PRADESH, India",,0.2,2,True,True
2,HIMACHAL PRADESH,31,Solan,162.0,Baddi,21235,Bhatauli Kalan (OG) (Part),Rdir_2011_02_HIMACHAL_PRADESH.xls,14659,02,031,00162,021235,HIMACHAL PRADESH,Solan,Baddi,Bhatauli Kalan (OG) (Part),Bhatauli Kalan,BHATAULI KALAN,VILLAGE,True,True,False,False,False,"Bhatauli Kalan, Baddi, Solan, HIMACHAL PRADESH, India",OG|PART,15.26,2,True,False
6,HARYANA,71,Yamunanagar,361.0,Jagadhri,57913,Pansra (127),Rdir_2011_06_HARYANA.xls,34623,06,071,00361,057913,HARYANA,Yamunanagar,Jagadhri,Pansra (127),Pansra,PANSRA,VILLAGE,False,False,False,False,False,"Pansra, Jagadhri, Yamunanagar, HARYANA, India",,0.12,2,True,True
6,HARYANA,71,Yamunanagar,361.0,Jagadhri,57913,Pansera (Part) (OG),Rdir_2011_06_HARYANA.xls,34675,06,071,00361,057913,HARYANA,Yamunanagar,Jagadhri,Pansera (Part) (OG),Pansera,PANSERA,VILLAGE,True,True,False,False,False,"Pansera, Jagadhri, Yamunanagar, HARYANA, India",OG|PART,15.19,2,True,False
6,HARYANA,74,Karnal,372.0,Karnal,59308,Kalaish (Part) (2),Rdir_2011_06_HARYANA.xls,36033,06,074,00372,059308,HARYANA,Karnal,Karnal,Kalaish (Part) (2),Kalaish,KALAISH,VILLAGE,False,True,False,False,False,"Kalaish, Karnal, Karnal, HARYANA, India",PART,5.18,2,True,True
6,HARYANA,74,Karnal,372.0,Karnal,59308,Kailash Village (Part) (OG),Rdir_2011_06_HARYANA.xls,36037,06,074,00372,059308,HARYANA,Karnal,Karnal,Kailash Village (Part) (OG),Kailash Village,KAILASH VILLAGE,VILLAGE,True,True,False,False,False,"Kailash Village, Karnal, Karnal, HARYANA, India",OG|PART,15.27,2,True,False
6,HARYANA,74,Karnal,372.0,Karnal,59309,Phusgarh (Part) (2),Rdir_2011_06_HARYANA.xls,36034,06,074,00372,059309,HARYANA,Karnal,Karnal,Phusgarh (Part) (2),Phusgarh,PHUSGARH,VILLAGE,False,True,False,False,False,"Phusgarh, Karnal, Karnal, HARYANA, India",PART,5.19,2,True,True
6,HARYANA,74,Karnal,372.0,Karnal,59309,Phushgarh (Part) (OG),Rdir_2011_06_HARYANA.xls,36036,06,074,00372,059309,HARYANA,Karnal,Karnal,Phushgarh (Part) (OG),Phushgarh,PHUSHGARH,VILLAGE,True,True,False,False,False,"Phushgarh, Karnal, Karnal, HARYANA, India",OG|PART,15.21,2,True,False
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64480,2 e(RURAL),Rdir_2011_08_RAJASTHAN.xls,41068,08,099,00458,064480,RAJASTHAN,Ganganagar,Ganganagar,2 e(RURAL),2 e,2 E,VILLAGE,False,False,True,False,False,"2 e, Ganganagar, Ganganagar, RAJASTHAN, India",RURAL,4.1,2,True,True
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64480,2 e (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,41228,08,099,00458,064480,RAJASTHAN,Ganganagar,Ganganagar,2 e (OG) (Part),2 e,2 E,VILLAGE,True,True,False,False,False,"2 e, Ganganagar, Ganganagar, RAJASTHAN, India",OG|PART,15.15,2,True,False
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64481,6 e(RURAL),Rdir_2011_08_RAJASTHAN.xls,41069,08,099,00458,064481,RAJASTHAN,Ganganagar,Ganganagar,6 e(RURAL),6 e,6 E,VILLAGE,False,False,True,False,False,"6 e, Ganganagar, Ganganagar, RAJASTHAN, India",RURAL,4.1,2,True,True
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64481,6 e (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,41230,08,099,00458,064481,RAJASTHAN,Ganganagar,Ganganagar,6 e (OG) (Part),6 e,6 E,VILLAGE,True,True,False,False,False,"6 e, Ganganagar, Ganganagar, RAJASTHAN, India",OG|PART,15.15,2,True,False
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64511,7e (RURAL),Rdir_2011_08_RAJASTHAN.xls,41099,08,099,00458,064511,RAJASTHAN,Ganganagar,Ganganagar,7e (RURAL),7e,7E,VILLAGE,False,False,True,False,False,"7e, Ganganagar, Ganganagar, RAJASTHAN, India",RURAL,4.1,2,True,True
